Job Title,Salary Estimate,Location,min_salary,max_salary,avg_salary,,,,,,,,,
Data Scientist,$53K-$91K ,"Albuquerque, NM",53,91,72,,,,,,,,,
Healthcare Data Scientist,$63K-$112K ,"Linthicum, MD",63,112,87.5,,,,,,,,,
Data Scientist,$80K-$90K ,"Clearwater, FL",80,90,85,,,,,,,,,
Data Scientist,$56K-$97K ,"Richland, WA",56,97,76.5,,,,,,,,,
Data Scientist,$86K-$143K ,"New York, NY",86,143,114.5,,,,,,,,,
Data Scientist,$71K-$119K ,"Dallas, TX",71,119,95,,,,,,,,,
Data Scientist,$54K-$93K ,"Baltimore, MD",54,93,73.5,,,,,,,,,
Data Scientist,$86K-$142K ,"San Jose, CA",86,142,114,,,,,,,,,
Research Scientist,$38K-$84K ,"Rochester, NY",38,84,61,,,,,,,,,
Data Scientist,$120K-$160K ,"New York, NY",120,160,140,,,,,,,,,
Data Scientist,$126K-$201K ,"San Jose, CA",126,201,163.5,,,,,,,,,
Data Scientist,$64K-$106K ,"Chantilly, VA",64,106,85,,,,,,,,,
Staff Data Scientist - Technology,$106K-$172K ,"Plano, TX",106,172,139,,,,,,,,,
Data Analyst,$46K-$85K ,"Seattle, WA",46,85,65.5,,,,,,,,,
Data Scientist,$83K-$144K ,"Cambridge, MA",83,144,113.5,,,,,,,,,
Data Engineer I,$102K-$190K ,"Newark, NJ",102,190,146,,,,,,,,,
"Scientist I/II, Biology",$67K-$137K,"Cambridge, MA",67,137,102,,,,,,,,,
Customer Data Scientist,$118K-$189K ,"Mountain View, CA",118,189,153.5,,,,,,,,,
Data Scientist - Health Data Analytics,$110K-$175K ,"San Francisco, CA",110,175,142.5,,,,,,,,,
Data Scientist,$64K-$111K ,"Denver, CO",64,111,87.5,,,,,,,,,
Data Scientist,$81K-$130K ,"Seattle, WA",81,130,105.5,,,,,,,,,
Senior Data Scientist / Machine Learning,$73K-$119K ,"Dallas, TX",73,119,96,,,,,,,,,
Data Scientist - Quantitative,$86K-$139K ,"Chicago, IL",86,139,112.5,,,,,,,,,
Data Scientist,$63K-$105K ,"Louisville, KY",63,105,84,,,,,,,,,
Data Scientist,$109K-$177K,"Herndon, VA",109,177,143,,,,,,,,,
Digital Health Data Scientist,$63K-$110K ,"Cambridge, MA",63,110,86.5,,,,,,,,,
Data Scientist,$75K-$124K ,"Hillsboro, OR",75,124,99.5,,,,,,,,,
Associate Data Analyst,$34K-$61K ,"Worcester, MA",34,61,47.5,,,,,,,,,
Clinical Data Scientist,$63K-$105K ,"Groton, CT",63,105,84,,,,,,,,,
Data Scientist,$80K-$90K,"Clearwater, FL",80,90,85,,,,,,,,,
Data Scientist,$56K-$97K ,"Richland, WA",56,97,76.5,,,,,,,,,
Data Scientist,$72K-$120K ,"Detroit, MI",72,120,96,,,,,,,,,
Data Scientist / Machine Learning Expert,$86K-$143K ,"Cambridge, MA",86,143,114.5,,,,,,,,,
Data Scientist,$93K-$149K ,"Sunnyvale, CA",93,149,121,,,,,,,,,
Data Scientist,$85K-$140K ,"Ipswich, MA",85,140,112.5,,,,,,,,,
Web Data Analyst,$77K-$135K ,"San Jose, CA",77,135,106,,,,,,,,,
Data Scientist,$82K-$132K ,"Redlands, CA",82,132,107,,,,,,,,,
Data Scientist,$83K-$137K ,"Woburn, MA",83,137,110,,,,,,,,,
Senior Data Scientist,$115K-$180K ,"Fremont, CA",115,180,147.5,,,,,,,,,
Data Engineer,$74K-$138K ,"Long Beach, NY",74,138,106,,,,,,,,,
Data Analyst,$64K-$112K ,"San Francisco, CA",64,112,88,,,,,,,,,
Data Engineer,$68K-$129K ,"Marlborough, MA",68,129,98.5,,,,,,,,,
Data Scientist - Algorithms & Inference,$110K-$175K ,"San Francisco, CA",110,175,142.5,,,,,,,,,
Scientist,$52K-$113K,"Allendale, NJ",52,113,82.5,,,,,,,,,
Senior Data Scientist,$110K-$150K,"Chicago, IL",110,150,130,,,,,,,,,
Data Scientist,$150K-$160,"Washington, DC",150,160,155,,,,,,,,,
Lead Data Scientist,$158K-$211K ,"Bellevue, WA",158,211,184.5,,,,,,,,,
Associate Data Analyst,$20K-$39K ,"Longmont, CO",20,39,29.5,,,,,,,,,
Spectral Scientist/Engineer,$56K-$117K ,"Beavercreek, OH",56,117,86.5,,,,,,,,,
College Hire - Data Scientist ,$63K-$99K  ,"Peoria, IL",63,99,81,,,,,,,,,
Data Scientist,$68K-$114K  ,"Fort Lauderdale, FL",68,114,91,,,,,,,,,
Data Scientist,$86K-$143K  ,"Boston, MA",86,143,114.5,,,,,,,,,
Data Science Analyst,$41K-$95K  ,"Huntsville, AL",41,95,68,,,,,,,,,
Data Scientist,$86K-$144K  ,"Armonk, NY",86,144,115,,,,,,,,,
Data Scientist,$80K-$139K  ,"San Diego, CA",80,139,109.5,,,,,,,,,
Data Scientist,$56K-$95K  ,"Albuquerque, NM",56,95,75.5,,,,,,,,,
Data Scientist,$120K-$189K  ,"San Francisco, CA",120,189,154.5,,,,,,,,,
Data Scientist,$111K-$176K  ,"Saint Louis, MO",111,176,143.5,,,,,,,,,
Data Scientist,$54K-$93K  ,"Baltimore, MD",54,93,73.5,,,,,,,,,
Data Scientist,$71K-$119K  ,"Dallas, TX",71,119,95,,,,,,,,,
Senior Data Scientist,$82K-$132K  ,"Cincinnati, OH",82,132,107,,,,,,,,,
Data Scientist,$84K-$146K  ,"New York, NY",84,146,115,,,,,,,,,
Senior Risk Data Scientist,$107K-$172K  ,"Palo Alto, CA",107,172,139.5,,,,,,,,,
Data Scientist ,$49K-$85K  ,"Richland, WA",49,85,67,,,,,,,,,
Data Scientist,$61K-$109K  ,"Coraopolis, PA",61,109,85,,,,,,,,,
Data Scientist,$88K-$148K  ,"Framingham, MA",88,148,118,,,,,,,,,
Data Scientist,$60K-$99K  ,"Atlanta, GA",60,99,79.5,,,,,,,,,
Data Scientist ,$41K-$72K  ,"Boston, MA",41,72,56.5,,,,,,,,,
Data Scientist,$96K-$161K  ,"Philadelphia, PA",96,161,128.5,,,,,,,,,
R&D Data Analysis Scientist,$65K-$130K  ,"Vancouver, WA",65,130,97.5,,,,,,,,,
Analytics Consultant,$52K-$81K  ,"Indianapolis, IN",52,81,66.5,,,,,,,,,
"Director, Data Science",$139K-$220K  ,"Lake Forest, IL",139,220,179.5,,,,,,,,,
Scientist,$50K-$102K  ,"Maryland Heights, MO",50,102,76,,,,,,,,,
Data Scientist SR,$85K-$139K  ,"Charlottesville, VA",85,139,112,,,,,,,,,
Data Scientist,$74K-$122K  ,"Pittsburgh, PA",74,122,98,,,,,,,,,
R&D Sr Data Scientist,$99K-$157K  ,"Vancouver, WA",99,157,128,,,,,,,,,
Customer Data Scientist/Sales Engineer ,$79K-$222K  ,"Mountain View, CA",79,222,150.5,,,,,,,,,
Research Scientist,$57K-$118K  ,"Cambridge, MA",57,118,87.5,,,,,,,,,
Data Scientist,$83K-$137K  ,"Chantilly, VA",83,137,110,,,,,,,,,
Data Scientist,$86K-$141K  ,"San Jose, CA",86,141,113.5,,,,,,,,,
Data Scientist,$94K-$154K  ,"San Francisco, CA",94,154,124,,,,,,,,,
Jr. Business Data Analyst,$37K-$76K  ,"Harrisburg, PA",37,76,56.5,,,,,,,,,
Data Scientist,$100K-$160K  ,"Laurel, MD",100,160,130,,,,,,,,,
Data Analyst,$55K-$100K  ,"Chicago, IL",55,100,77.5,,,,,,,,,
Data Engineer,$60K-$114K  ,"Arlington, VA",60,114,87,,,,,,,,,
Data Analyst,$39K-$68K  ,"Tacoma, WA",39,68,53.5,,,,,,,,,
Staff Data Scientist - Technology,$106K-$172K  ,"Plano, TX",106,172,139,,,,,,,,,
Data Scientist,$86K-$142K  ,"San Jose, CA",86,142,114,,,,,,,,,
Data Scientist,$64K-$107K  ,"Miami, FL",64,107,85.5,,,,,,,,,
Data Management Specialist,$31K-$65K  ,"Huntsville, AL",31,65,48,,,,,,,,,
E-Commerce Data Analyst,$34K-$62K  ,"New Orleans, LA",34,62,48,,,,,,,,,
Sr. Scientist II,$117K-$231K  ,"San Francisco, CA",117,231,174,,,,,,,,,
Insurance Data Scientist,$64K-$106K  ,"Atlanta, GA",64,106,85,,,,,,,,,
Data Modeler,$79K-$134K  ,"Landover, MD",79,134,106.5,,,,,,,,,
Data Analyst / Scientist,$52K-$93K  ,"Patuxent River, MD",52,93,72.5,,,,,,,,,
Scientist,$55K-$116K  ,"Suitland, MD",55,116,85.5,,,,,,,,,
Data Scientist,$72K-$123K  ,"McLean, VA",72,123,97.5,,,,,,,,,
Data Scientist,$74K-$124K  ,"Fort Belvoir, VA",74,124,99,,,,,,,,,
Data Analyst,$40K-$73K  ,"Milwaukee, WI",40,73,56.5,,,,,,,,,
Lead Data Scientist,$102K-$164K  ,"Silver Spring, MD",102,164,133,,,,,,,,,
Data Scientist,$89K-$153K  ,"New York, NY",89,153,121,,,,,,,,,
Data Scientist,$61K-$110K  ,"Syracuse, NY",61,110,85.5,,,,,,,,,
Data Scientist,$65K-$110K  ,"Houston, TX",65,110,87.5,,,,,,,,,
Senior Data Scientist,$200K-$275K ,"Washington, DC",200,275,237.5,,,,,,,,,
Data Engineer,$68K-$123K  ,"Charlotte, NC",68,123,95.5,,,,,,,,,
Senior Data Scientist,$80K-$129K  ,"Southfield, MI",80,129,104.5,,,,,,,,,
